protein1 protein2 combined_score
7955.ENSDARP00000000004 7955.ENSDARP00000118756 185
7955.ENSDARP00000000004 7955.ENSDARP00000084432 153
7955.ENSDARP00000000004 7955.ENSDARP00000081855 610
7955.ENSDARP00000000004 7955.ENSDARP00000066281 417
7955.ENSDARP00000000004 7955.ENSDARP00000104777 398
7955.ENSDARP00000000004 7955.ENSDARP00000071929 183
7955.ENSDARP00000000004 7955.ENSDARP00000076945 199
7955.ENSDARP00000000004 7955.ENSDARP00000005687 292
7955.ENSDARP00000000004 7955.ENSDARP00000100747 185
7955.ENSDARP00000000004 7955.ENSDARP00000119995 203
