protein1 protein2 combined_score
10090.ENSMUSP00000000001 10090.ENSMUSP00000020316 183
10090.ENSMUSP00000000001 10090.ENSMUSP00000022816 155
10090.ENSMUSP00000000001 10090.ENSMUSP00000048234 258
10090.ENSMUSP00000000001 10090.ENSMUSP00000017365 165
10090.ENSMUSP00000000001 10090.ENSMUSP00000033545 192
10090.ENSMUSP00000000001 10090.ENSMUSP00000113105 500
10090.ENSMUSP00000000001 10090.ENSMUSP00000036031 232
10090.ENSMUSP00000000001 10090.ENSMUSP00000039580 209
10090.ENSMUSP00000000001 10090.ENSMUSP00000040516 196
10090.ENSMUSP00000000001 10090.ENSMUSP00000017460 900
10090.ENSMUSP00000000001 10090.ENSMUSP00000086207 695
10090.ENSMUSP00000000001 10090.ENSMUSP00000061493 159
