protein1 protein2 combined_score
9606.ENSP00000000233 9606.ENSP00000272298 490
9606.ENSP00000000233 9606.ENSP00000253401 198
9606.ENSP00000000233 9606.ENSP00000401445 159
9606.ENSP00000000233 9606.ENSP00000418915 606
9606.ENSP00000000233 9606.ENSP00000327801 167
9606.ENSP00000000233 9606.ENSP00000466298 267
9606.ENSP00000000233 9606.ENSP00000232564 201
9606.ENSP00000000233 9606.ENSP00000393379 150
9606.ENSP00000000233 9606.ENSP00000371253 240
9606.ENSP00000000233 9606.ENSP00000373713 271
9606.ENSP00000000233 9606.ENSP00000248929 157
9606.ENSP00000000233 9606.ENSP00000356737 418
